#SUBMITTED ID,FBID_KEY,ANNOTATION_SYMBOL,CYTOGENETIC_MAP,EXPERIMENTAL_CYTOLOGY,EXPERIMENTAL_RECOMBINATION_DATA,EXPERIMENTAL_RECOMBINATION_LEFT_OF,EXPERIMENTAL_RECOMBINATION_NOTE,EXPERIMENTAL_RECOMBINATION_RIGHT_OF,FEATURE_TYPE,GO_BIOLOGICAL_PROCESS,GO_CELLULAR_COMPONENT,GO_MOLECULAR_FUNCTION,LOCATION_ARM,LOCATION_MAX,LOCATION_MIN,LOCATION_STRAND,MAPPED_FEATURES_MUTATIONS,NAME,RECOMBINATION_MAP,SYMBOL
FBgn0025628,FBgn0025628,CG4199,2C9-2C10,-,1-0.5 <newline> 1-0.2,-,-,-,SO0000010:protein_coding_gene,"oxidation-reduction process ; GO:0055114 | inferred from electronic annotation with InterPro:IPR004099, InterPro:IPR016156, InterPro:IPR017941, InterPro:IPR023753",-,"2 iron, 2 sulfur cluster binding ; GO:0051537 | inferred from electronic annotation with InterPro:IPR017941 <newline> flavin adenine dinucleotide binding ; GO:0050660 | inferred from electronic annotation with InterPro:IPR016156 <newline> oxidoreductase activity ; GO:0016491 | inferred from electronic annotation with InterPro:IPR016156, InterPro:IPR017941, InterPro:IPR023753",X,2073483,2066435,-1,-,-,1-0.5,CG4199
FBgn0025700,FBgn0025700,CG5885,30E4-30E4,-,2-37 <newline> 2-32.4,-,-,-,SO0000010:protein_coding_gene,SRP-dependent cotranslational protein targeting to membrane ; GO:0006614 | inferred from electronic annotation with InterPro:IPR009779,integral component of membrane ; GO:0016021 | inferred from electronic annotation with InterPro:IPR009779,-,2L,9918330,9917221,-1,-,-,Feb-37,CG5885
FBgn0025712,FBgn0025712,CG13920,62A9-62A9,-,3-0.5 <newline> 3-2.5,-,-,-,SO0000010:protein_coding_gene,-,-,-,3L,1651501,1648944,1,-,-,3-0.5,CG13920
FBgn0025837,FBgn0025837,CG17636,1A1-1A1,1A-1A,1-0 <newline> 1-0.0,-,-,-,SO0000010:protein_coding_gene,glutathione catabolic process ; GO:0006751 | inferred from electronic annotation with InterPro:IPR000101,-,glutathione hydrolase activity ; GO:0036374 | inferred from electronic annotation with InterPro:IPR000101,X,126714,124370,-1,-,-,Jan-00,CG17636
FBgn0026403,FBgn0026403,CG12908,47A1-47A1,47A1-47A2; (determined by in situ hybridisation),2-62 <newline> 2-60.9,-,-,-,SO0000010:protein_coding_gene,cell-matrix adhesion ; GO:0007160 | inferred from electronic annotation with InterPro:IPR003886,basement membrane ; GO:0005604 | inferred from sequence or structural similarity,"calcium ion binding ; GO:0005509 | inferred from electronic annotation with InterPro:IPR001881, InterPro:IPR018097",2R,10322104,10313891,1,regulatory_region FBsf0000436716 2R:10315635..10316277 evidence=Reporter construct (in vivo),Nidogen/entactin,Feb-62,Ndg
FBgn0026563,FBgn0026563,CG1979,84B2-84B2,-,3-48 <newline> 3-44.2,-,-,-,SO0000010:protein_coding_gene,-,cellular_component ; GO:0005575 | no biological data available,molecular_function ; GO:0003674 | no biological data available,3R,7058671,7054586,1,-,-,Mar-48,CG1979
FBgn0026593,FBgn0026593,CG5707,62D2-62D2,62D1-62D2,3-2 <newline> 3-4.0,-,-,-,SO0000010:protein_coding_gene,biological_process ; GO:0008150 | no biological data available,cellular_component ; GO:0005575 | no biological data available,molecular_function ; GO:0003674 | no biological data available,3L,2192221,2189160,-1,-,-,2-Mar,CG5707
FBgn0026878,FBgn0026878,CG4325,2C7-2C7,-,1-0.5 <newline> 1-0.2,-,-,-,SO0000010:protein_coding_gene,regulation of antimicrobial peptide biosynthetic process ; GO:0002805 | inferred from mutant phenotype <newline> intracellular signal transduction ; GO:0035556 | inferred from sequence or structural similarity with MGI:MGI:1096377 <newline> protein ubiquitination ; GO:0016567 | inferred from sequence or structural similarity with MGI:MGI:1096377,cellular_component ; GO:0005575 | no biological data available,ubiquitin-protein transferase activity ; GO:0004842 | inferred from sequence or structural similarity with MGI:MGI:1096377 <newline> zinc ion binding ; GO:0008270 | inferred from sequence model,X,2043818,2042730,-1,-,-,1-0.5,CG4325
FBgn0027493,FBgn0027493,CG17273,93A1-93A1,-,3-69 <newline> 3-73.0,-,-,-,SO0000010:protein_coding_gene,'de novo' AMP biosynthetic process ; GO:0044208 | inferred from biological aspect of ancestor with PANTHER:PTN000217844 <newline> IMP metabolic process ; GO:0046040 | inferred from biological aspect of ancestor with PANTHER:PTN000217844,cytoplasm ; GO:0005737 | inferred from biological aspect of ancestor with PANTHER:PTN000217844,"GTP binding ; GO:0005525 | inferred from electronic annotation with InterPro:IPR001114, InterPro:IPR018220 <newline> adenylosuccinate synthase activity ; GO:0004019 | inferred from biological aspect of ancestor with PANTHER:PTN000217844",3R,20830580,20824667,-1,-,Adenylosuccinate Synthetase,Mar-69,AdSS
FBgn0027584,FBgn0027584,CG4757,86D5-86D5,-,3-50 <newline> 3-47.6,-,-,-,SO0000010:protein_coding_gene,biological_process ; GO:0008150 | no biological data available,cellular_component ; GO:0005575 | no biological data available,carboxylic ester hydrolase activity ; GO:0052689 | inferred from biological aspect of ancestor with PANTHER:PTN000168392,3R,11163498,11161207,1,-,-,Mar-50,CG4757
FBgn0027620,FBgn0027620,CG1966,100D2-100D2,100E1-100E2,3-102 <newline> 3-99.1,-,-,-,SO0000010:protein_coding_gene,"regulation of heterochromatin assembly ; GO:0031445 | inferred from mutant phenotype <newline> nucleosome assembly ; GO:0006334 | inferred from direct assay <newline> regulation of ATPase activity ; GO:0043462 | inferred from direct assay <newline> nucleosome mobilization ; GO:0042766 | traceable author statement <newline> chromatin assembly ; GO:0031497 | inferred from direct assay <newline> chromatin assembly or disassembly ; GO:0006333 | traceable author statement <newline> nucleosome positioning ; GO:0016584 | inferred from direct assay <newline> negative regulation of transcription, DNA-templated ; GO:0045892 | inferred from mutant phenotype <newline> nervous system development ; GO:0007399 | inferred from mutant phenotype <newline> nucleosome mobilization ; GO:0042766 | inferred from direct assay <newline> regulation of transcription, DNA-templated ; GO:0006355 | inferred from direct assay",ACF complex ; GO:0016590 | inferred from direct assay inferred from physical interaction with Iswi <newline> CHRAC ; GO:0008623 | inferred from direct assay <newline> NURF complex ; GO:0016589 | NOT inferred from direct assay <newline> ACF complex ; GO:0016590 | inferred from direct assay <newline> nucleus ; GO:0005634 | inferred from direct assay,protein binding ; GO:0005515 | inferred from physical interaction with Iswi <newline> DNA binding ; GO:0003677 | inferred from direct assay <newline> nucleosome-dependent ATPase activity ; GO:0070615 | contributes_to inferred by curator from GO:0008623 <newline> nucleosome-dependent ATPase activity ; GO:0070615 | inferred from direct assay <newline> DNA binding ; GO:0003677 | traceable author statement <newline> histone acetyltransferase activity ; GO:0004402 | NOT inferred from direct assay,3R,31799799,31793981,1,-,ATP-dependent chromatin assembly factor large subunit,3-102,Acf
FBgn0027657,FBgn0027657,CG9734,89A8-89A8,90A-90B; (determined by in situ hybridisation),3-58 <newline> 3-57.8,-,-,-,SO0000010:protein_coding_gene,"oxygen transport ; GO:0015671 | inferred by curator from GO:0005506,GO:0019825",cytoplasm ; GO:0005737 | inferred from sequence model,"heme binding ; GO:0020037 | inferred from electronic annotation with InterPro:IPR000971, InterPro:IPR012292 <newline> oxygen binding ; GO:0019825 | inferred from sequence model <newline> heme binding ; GO:0020037 | inferred from sequence model <newline> oxygen binding ; GO:0019825 | inferred from direct assay <newline> iron ion binding ; GO:0005506 | inferred from direct assay",3R,15904521,15896926,-1,-,globin 1,Mar-58,glob1
FBgn0027950,FBgn0027950,CG8208,85D24-85D24,-,3-48 <newline> 3-46.1,-,-,-,SO0000010:protein_coding_gene,"negative regulation of transcription, DNA-templated ; GO:0045892 | inferred from direct assay <newline> methylation-dependent chromatin silencing ; GO:0006346 | inferred from biological aspect of ancestor with PANTHER:PTN000273735 <newline> multicellular organism development ; GO:0007275 | traceable author statement <newline> chromosome condensation ; GO:0030261 | inferred from mutant phenotype <newline> negative regulation of transcription from RNA polymerase II promoter ; GO:0000122 | inferred from biological aspect of ancestor with PANTHER:PTN000273735",polytene chromosome ; GO:0005700 | inferred from direct assay <newline> NuRD complex ; GO:0016581 | inferred from physical interaction with FLYBASE:inferred from high throughput direct assayC1; FB:FBgn0015805 inferred from physical interaction with Mi-2 <newline> nucleus ; GO:0005634 | inferred from biological aspect of ancestor with PANTHER:PTN000273735 <newline> NuRD complex ; GO:0016581 | inferred from physical interaction with Mi-2 <newline> nucleus ; GO:0005634 | inferred from physical interaction with FLYBASE:inferred from high throughput direct assayC1; FB:FBgn0015805 inferred from physical interaction with Mi-2,histone deacetylase binding ; GO:0042826 | inferred from physical interaction with FLYBASE:inferred from high throughput direct assayC1; FB:FBgn0015805 <newline> methyl-CpG binding ; GO:0008327 | inferred from direct assay <newline> protein homodimerization activity ; GO:0042803 | inferred from physical interaction with MBD-like <newline> protein binding ; GO:0005515 | inferred from physical interaction with Caf1-55 <newline> methyl-CpG binding ; GO:0008327 | NOT traceable author statement <newline> methyl-CpG binding ; GO:0008327 | NOT inferred from direct assay <newline> transcription corepressor activity ; GO:0003714 | inferred from direct assay <newline> methyl-CpG binding ; GO:0008327 | inferred from biological aspect of ancestor with PANTHER:PTN000273735,3R,9561533,9559760,1,-,Methyl-CpG binding domain protein-like,Mar-48,MBD-like
FBgn0028427,FBgn0028427,CG10504,78C2-78C2,78B2-78B2,3-47 <newline> 3-43.8,-,-,-,SO0000010:protein_coding_gene,"protein phosphorylation ; GO:0006468 | inferred from electronic annotation with InterPro:IPR000719, InterPro:IPR001245 <newline> muscle attachment ; GO:0016203 | inferred from mutant phenotype <newline> cell-matrix adhesion ; GO:0007160 | inferred from mutant phenotype <newline> integrin-mediated signaling pathway ; GO:0007229 | inferred from biological aspect of ancestor with PANTHER:PTN001510364 <newline> substrate adhesion-dependent cell spreading ; GO:0034446 | inferred from biological aspect of ancestor with PANTHER:PTN001510364 <newline> cytoskeletal anchoring at plasma membrane ; GO:0007016 | inferred from sequence or structural similarity <newline> protein phosphorylation ; GO:0006468 | non-traceable author statement <newline> cell adhesion ; GO:0007155 | traceable author statement <newline> apposition of dorsal and ventral imaginal disc-derived wing surfaces ; GO:0007475 | inferred from mutant phenotype",cytoplasm ; GO:0005737 | inferred from biological aspect of ancestor with PANTHER:PTN000584061 <newline> focal adhesion ; GO:0005925 | inferred from direct assay <newline> focal adhesion ; GO:0005925 | inferred from sequence or structural similarity <newline> stress fiber ; GO:0001725 | colocalizes_with inferred from biological aspect of ancestor with PANTHER:PTN001510364,ATP binding ; GO:0005524 | inferred from electronic annotation with InterPro:IPR000719 <newline> signal transducer activity ; GO:0004871 | inferred from biological aspect of ancestor with PANTHER:PTN000584058 <newline> protein kinase activity ; GO:0004672 | NOT inferred from key residues <newline> protein kinase activity ; GO:0004672 | non-traceable author statement <newline> protein binding ; GO:0005515 | inferred from physical interaction with wech,3L,21219240,21216901,1,-,Integrin linked kinase,Mar-47,Ilk
FBgn0028487,FBgn0028487,CG9611,87F11-87F11,-,3-54 <newline> 3-51.1,-,-,-,SO0000010:protein_coding_gene,-,-,-,3R,13700838,13695263,-1,-,flyers-cup,Mar-54,f-cup
FBgn0028526,FBgn0028526,CG15293,34F4-34F4,-,2-50 <newline> 2-45.8,-,-,-,SO0000010:protein_coding_gene,-,extracellular region ; GO:0005576 | inferred from high throughput direct assay,-,2L,14109447,14108057,-1,-,-,Feb-50,CG15293
FBgn0028546,FBgn0028546,CG9031,34C6-34C6,-,2-48 <newline> 2-44.5,-,-,-,SO0000010:protein_coding_gene,negative regulation of JUN kinase activity ; GO:0043508 | inferred from mutant phenotype <newline> integrin-mediated signaling pathway ; GO:0007229 | inferred from genetic interaction with stck <newline> apposition of dorsal and ventral imaginal disc-derived wing surfaces ; GO:0007475 | inferred from mutant phenotype <newline> negative regulation of JNK cascade ; GO:0046329 | inferred from genetic interaction with bsk inferred from genetic interaction with msn,-,-,2L,13642602,13639447,-1,-,icarus,Feb-48,ics
FBgn0028945,FBgn0028945,CG7631,35D3-35D3,-,2-51 <newline> 2-48.8,-,-,-,SO0000010:protein_coding_gene,"proteolysis ; GO:0006508 | inferred from electronic annotation with InterPro:IPR001506, InterPro:IPR006026 <newline> lateral inhibition ; GO:0046331 | inferred from mutant phenotype",-,metalloendopeptidase activity ; GO:0004222 | inferred from electronic annotation with InterPro:IPR001506 <newline> zinc ion binding ; GO:0008270 | inferred from electronic annotation with InterPro:IPR006026,2L,15629552,15628678,1,-,-,Feb-51,CG7631
FBgn0028983,FBgn0028983,CG10913,55B7-55B7,-,2-84 <newline> 2-88.7,-,-,-,SO0000010:protein_coding_gene,negative regulation of proteolysis ; GO:0045861 | inferred from direct assay,extracellular space ; GO:0005615 | inferred from biological aspect of ancestor with PANTHER:PTN000156122,serine-type endopeptidase inhibitor activity ; GO:0004867 | inferred from direct assay,2R,18128210,18126347,1,-,Serpin 55B,Feb-84,Spn55B
FBgn0029172,FBgn0029172,CG7923,68A1-68A1,68A-68A,3-34 <newline> 3-28.4,-,-,-,SO0000010:protein_coding_gene,oxidation-reduction process ; GO:0055114 | inferred from electronic annotation with InterPro:IPR015876 <newline> lipid metabolic process ; GO:0006629 | inferred from electronic annotation with InterPro:IPR005804 <newline> mitotic cytokinesis ; GO:0000281 | inferred from mutant phenotype <newline> courtship behavior ; GO:0007619 | inferred from mutant phenotype <newline> pheromone metabolic process ; GO:0042810 | inferred from mutant phenotype,-,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water ; GO:0016717 | inferred from electronic annotation with InterPro:IPR015876",3L,11024846,11023535,1,regulatory_region FBsf0000435054 3L:11023234..11023408 evidence=Reporter construct (in vivo),Fad2,Mar-34,Fad2
FBgn0029769,FBgn0029769,CG3239,5A1-5A1,-,1-12 <newline> 1-13.9,-,-,-,SO0000010:protein_coding_gene,"proteolysis ; GO:0006508 | inferred from electronic annotation with InterPro:IPR000718, InterPro:IPR008753, InterPro:IPR018497 <newline> negative regulation of female receptivity, post-mating ; GO:0045434 | inferred from mutant phenotype",-,"metalloendopeptidase activity ; GO:0004222 | inferred from electronic annotation with InterPro:IPR000718, InterPro:IPR018497",X,5496052,5493014,-1,-,fra mauro,12-Jan,frma
FBgn0029823,FBgn0029823,CG3011,5C7-5C7,-,1-14 <newline> 1-15.6,-,-,-,SO0000010:protein_coding_gene,tetrahydrofolate interconversion ; GO:0035999 | inferred from electronic annotation with InterPro:IPR001085 <newline> behavioral response to ethanol ; GO:0048149 | inferred from mutant phenotype <newline> tetrahydrofolate metabolic process ; GO:0046653 | inferred from mutant phenotype <newline> regulation of circadian rhythm ; GO:0042752 | inferred from mutant phenotype <newline> L-serine biosynthetic process ; GO:0006564 | inferred from sequence or structural similarity with UniProtKB:P34897 <newline> glycine biosynthetic process from serine ; GO:0019264 | inferred from mutant phenotype,mitochondrion ; GO:0005739 | inferred from sequence or structural similarity with UniProtKB:P34897 <newline> nucleus ; GO:0005634 | inferred from direct assay <newline> cytoplasm ; GO:0005737 | inferred from direct assay,pyridoxal phosphate binding ; GO:0030170 | inferred from electronic annotation with InterPro:IPR019798 <newline> glycine hydroxymethyltransferase activity ; GO:0004372 | inferred from mutant phenotype <newline> glycine hydroxymethyltransferase activity ; GO:0004372 | inferred from sequence or structural similarity with UniProtKB:P34897,X,5916797,5913067,-1,-,Serine hydroxymethyl transferase,14-Jan,Shmt
FBgn0029826,FBgn0029826,CG6041,5C10-5C10,-,1-14 <newline> 1-15.6,-,-,-,SO0000010:protein_coding_gene,"proteolysis ; GO:0006508 | inferred from electronic annotation with InterPro:IPR001254, InterPro:IPR001314, InterPro:IPR018114 <newline> proteolysis ; GO:0006508 | inferred from sequence model",-,"serine-type endopeptidase activity ; GO:0004252 | inferred from electronic annotation with InterPro:IPR001254, InterPro:IPR001314 <newline> serine-type endopeptidase activity ; GO:0004252 | inferred from sequence model",X,5950208,5948160,1,-,-,14-Jan,CG6041
FBgn0029891,FBgn0029891,CG4523,6C6-6C6,-,1-18 <newline> 1-18.6,-,-,-,SO0000010:protein_coding_gene,"mitochondrial fission ; GO:0000266 | inferred from genetic interaction with Drp1 inferred from genetic interaction with Marf inferred from genetic interaction with Opa1 <newline> mitochondrion organization ; GO:0007005 | inferred from mutant phenotype inferred from genetic interaction with Buffy <newline> mitochondrion transport along microtubule ; GO:0047497 | inferred from mutant phenotype <newline> mitochondrion organization ; GO:0007005 | inferred from mutant phenotype <newline> negative regulation of programmed cell death ; GO:0043069 | inferred from mutant phenotype <newline> establishment of mitochondrion localization ; GO:0051654 | inferred from mutant phenotype <newline> negative regulation of mitochondrial fusion ; GO:0010637 | inferred from mutant phenotype <newline> regulation of mitochondrial electron transport, NADH to ubiquinone ; GO:1902956 | inferred from genetic interaction with FLYBASE:no biological data available-42; FB:FBgn0019957 <newline> positive regulation of compound eye pigmentation ; GO:0048078 | inferred from mutant phenotype <newline> negative regulation of neuron apoptotic process ; GO:0043524 | inferred from direct assay <newline> protein phosphorylation ; GO:0006468 | inferred from direct assay <newline> sperm mitochondrion organization ; GO:0030382 | inferred from mutant phenotype <newline> ectopic germ cell programmed cell death ; GO:0035234 | inferred from mutant phenotype <newline> ubiquitin-dependent protein catabolic process ; GO:0006511 | inferred from mutant phenotype <newline> regulation of mitochondrion organization ; GO:0010821 | inferred from mutant phenotype <newline> autophagy of mitochondrion ; GO:0000422 | inferred from mutant phenotype <newline> mitochondrial fission ; GO:0000266 | inferred from genetic interaction with Drp1 inferred from genetic interaction with Opa1 <newline> mitochondrion organization ; GO:0007005 | inferred from direct assay <newline> positive regulation of mitochondrial fission ; GO:0090141 | inferred from mutant phenotype <newline> compound eye development ; GO:0048749 | inferred from mutant phenotype <newline> response to oxidative stress ; GO:0006979 | inferred from mutant phenotype <newline> intracellular distribution of mitochondria ; GO:0048312 | inferred from mutant phenotype <newline> neuromuscular synaptic transmission ; GO:0007274 | inferred from mutant phenotype",cytoplasm ; GO:0005737 | inferred from direct assay <newline> Nebenkern ; GO:0016006 | inferred from direct assay <newline> mitochondrion ; GO:0005739 | inferred from direct assay,ATP binding ; GO:0005524 | inferred from electronic annotation with InterPro:IPR000719 <newline> protein serine/threonine kinase activity ; GO:0004674 | inferred from direct assay <newline> protein binding ; GO:0005515 | inferred from physical interaction with rho-7 <newline> protein binding ; GO:0005515 | inferred from physical interaction with Pgam5 <newline> protein kinase activity ; GO:0004672 | inferred from direct assay,X,6687302,6683798,1,-,PTEN-induced putative kinase 1,18-Jan,Pink1
FBgn0029975,FBgn0029975,CG1444,7C2-7C2,-,1-21 <newline> 1-22.0,-,-,-,SO0000010:protein_coding_gene,positive regulation of lipid storage ; GO:0010884 | inferred from mutant phenotype <newline> negative regulation of DNA endoreduplication ; GO:0032876 | inferred from mutant phenotype <newline> negative regulation of cell growth ; GO:0030308 | inferred from mutant phenotype <newline> cellular response to nutrient levels ; GO:0031669 | inferred from mutant phenotype <newline> negative regulation of phosphatidylinositol 3-kinase signaling ; GO:0014067 | inferred from mutant phenotype,-,-,X,7911885,7908931,1,-,spidey,21-Jan,spidey
FBgn0029990,FBgn0029990,CG2233,7D3-7D3,-,1-22 <newline> 1-22.2,-,-,-,SO0000010:protein_coding_gene,-,-,-,X,8037517,8035741,-1,-,-,22-Jan,CG2233
FBgn0030040,FBgn0030040,CG15347,7E11-7E11,-,1-23 <newline> 1-23.4,-,-,-,SO0000010:protein_coding_gene,-,-,-,X,8460898,8458494,-1,-,-,23-Jan,CG15347
FBgn0030160,FBgn0030160,CG9691,9A3-9A3,-,1-30 <newline> 1-31.4,-,-,-,SO0000010:protein_coding_gene,-,-,-,X,9885044,9884442,1,-,-,30-Jan,CG9691
FBgn0030306,FBgn0030306,CG1751,10B15-10B16,-,1-34 <newline> 1-36.3,-,-,-,SO0000010:protein_coding_gene,signal peptide processing ; GO:0006465 | inferred from biological aspect of ancestor with PANTHER:PTN000317824 <newline> protein targeting to ER ; GO:0045047 | inferred from biological aspect of ancestor with PANTHER:PTN000317824,integral component of membrane ; GO:0016021 | inferred from electronic annotation with InterPro:IPR009582 <newline> endomembrane system ; GO:0012505 | inferred from high throughput direct assay <newline> signal peptidase complex ; GO:0005787 | inferred from biological aspect of ancestor with PANTHER:PTN000317824,peptidase activity ; GO:0008233 | contributes_to inferred from biological aspect of ancestor with PANTHER:PTN000317824,X,11486566,11485250,1,regulatory_region FBsf0000436531 X:11482939..11485602 evidence=Reporter construct (in vivo),Spase 25-subunit,Jan-34,Spase25
FBgn0030425,FBgn0030425,CG3775,11C2-11C2,-,1-40 <newline> 1-40.3,-,-,-,SO0000010:protein_coding_gene,"proteolysis ; GO:0006508 | inferred from electronic annotation with InterPro:IPR000718, InterPro:IPR008753, InterPro:IPR018497",-,"metalloendopeptidase activity ; GO:0004222 | inferred from electronic annotation with InterPro:IPR000718, InterPro:IPR018497",X,12804232,12801661,1,-,-,Jan-40,CG3775
FBgn0030610,FBgn0030610,CG9065,13A9-13A9,-,1-49 <newline> 1-49.7,-,-,-,SO0000010:protein_coding_gene,mitochondrial respiratory chain complex IV assembly ; GO:0033617 | inferred from biological aspect of ancestor with PANTHER:PTN000423137 <newline> copper ion transport ; GO:0006825 | inferred from biological aspect of ancestor with PANTHER:PTN000423136 <newline> respiratory chain complex IV assembly ; GO:0008535 | inferred from sequence or structural similarity with UniProtKB:Q14061,mitochondrial intermembrane space ; GO:0005758 | inferred from sequence or structural similarity with UniProtKB:Q14061 <newline> mitochondrial intermembrane space ; GO:0005758 | inferred from biological aspect of ancestor with PANTHER:PTN000423137,copper chaperone activity ; GO:0016531 | inferred from biological aspect of ancestor with PANTHER:PTN000423136 <newline> copper chaperone activity ; GO:0016531 | inferred from sequence or structural similarity with UniProtKB:Q14061,X,15084699,15084029,-1,-,-,Jan-49,CG9065
FBgn0030774,FBgn0030774,CG9675,15A1-15A2,-,1-55 <newline> 1-55.7,-,-,-,SO0000010:protein_coding_gene,"proteolysis ; GO:0006508 | inferred from electronic annotation with InterPro:IPR001254, InterPro:IPR001314 <newline> positive regulation of Toll signaling pathway ; GO:0045752 | inferred from mutant phenotype <newline> innate immune response ; GO:0045087 | inferred from mutant phenotype <newline> defense response to Gram-positive bacterium ; GO:0050830 | inferred from mutant phenotype <newline> defense response to fungus ; GO:0050832 | inferred from mutant phenotype",extracellular region ; GO:0005576 | inferred by curator from GO:0050832,serine-type endopeptidase activity ; GO:0004252 | NOT inferred from key residues,X,16701972,16700446,-1,-,spheroide,Jan-55,spheroide
FBgn0030777,FBgn0030777,CG9672,15A3-15A3,-,1-55 <newline> 1-56.2,-,-,-,SO0000010:protein_coding_gene,"proteolysis ; GO:0006508 | inferred from electronic annotation with InterPro:IPR001254, InterPro:IPR001314",extracellular space ; GO:0005615 | inferred from biological aspect of ancestor with PANTHER:PTN000669108,serine-type endopeptidase activity ; GO:0004252 | NOT inferred from key residues,X,16706874,16705971,-1,-,-,Jan-55,CG9672
FBgn0030837,FBgn0030837,CG8661,15F7-15F7,-,1-57 <newline> 1-57.5,-,-,-,SO0000010:protein_coding_gene,-,-,-,X,17284500,17283762,-1,-,-,Jan-57,CG8661
FBgn0030964,FBgn0030964,CG7103,17E1-17E1,17E-17E; (determined by in situ hybridisation) <newline> 17E1-17E2,1-61 <newline> 1-60.1,-,-,-,SO0000010:protein_coding_gene,"negative regulation of cell death ; GO:0060548 | inferred from mutant phenotype <newline> salivary gland morphogenesis ; GO:0007435 | inferred from mutant phenotype <newline> cell projection assembly ; GO:0030031 | inferred from mutant phenotype <newline> border follicle cell migration ; GO:0007298 | traceable author statement <newline> anterior Malpighian tubule development ; GO:0061327 | inferred from mutant phenotype <newline> border follicle cell migration ; GO:0007298 | inferred from mutant phenotype <newline> border follicle cell migration ; GO:0007298 | inferred from mutant phenotype inferred from genetic interaction with tai <newline> Malpighian tubule morphogenesis ; GO:0007443 | inferred from mutant phenotype <newline> vascular endothelial growth factor receptor signaling pathway ; GO:0048010 | inferred from sequence or structural similarity with HGNC:12680 <newline> positive regulation of cell proliferation ; GO:0008284 | inferred from biological aspect of ancestor with PANTHER:PTN000908679 <newline> regulation of cellular response to X-ray ; GO:2000683 | inferred from mutant phenotype <newline> positive regulation of protein autophosphorylation ; GO:0031954 | inferred from biological aspect of ancestor with PANTHER:PTN000908679 <newline> hemocyte migration ; GO:0035099 | traceable author statement <newline> hemocyte migration ; GO:0035099 | inferred from expression pattern inferred from genetic interaction with Pvf2, Pvf3",membrane ; GO:0016020 | inferred from electronic annotation with InterPro:IPR000072 <newline> extracellular space ; GO:0005615 | inferred from biological aspect of ancestor with PANTHER:PTN000908679 <newline> extracellular region ; GO:0005576 | inferred from sequence or structural similarity with HGNC:12680 inferred from sequence or structural similarity with HGNC:8799 <newline> cytoplasm ; GO:0005737 | inferred from direct assay,growth factor activity ; GO:0008083 | inferred from electronic annotation with InterPro:IPR000072 <newline> vascular endothelial growth factor receptor binding ; GO:0005172 | inferred from sequence or structural similarity with HGNC:12680 <newline> heparin binding ; GO:0008201 | inferred from direct assay <newline> receptor binding ; GO:0005102 | inferred from sequence or structural similarity with HGNC:12680 inferred from sequence or structural similarity with HGNC:12681 inferred from sequence or structural similarity with HGNC:8799 inferred from sequence or structural similarity with HGNC:8800 inferred from physical interaction with Pvr <newline> growth factor receptor binding ; GO:0070851 | inferred from biological aspect of ancestor with PANTHER:PTN000908679,X,18842901,18832682,1,-,PDGF- and VEGF-related factor 1,Jan-61,Pvf1
FBgn0031037,FBgn0031037,CG14207,18D3-18D3,-,1-63 <newline> 1-62.2,-,-,-,SO0000010:protein_coding_gene,protein refolding ; GO:0042026 | inferred from direct assay <newline> chaperone-mediated protein folding ; GO:0061077 | inferred from sequence model,Z disc ; GO:0030018 | inferred from direct assay <newline> cytosol ; GO:0005829 | inferred from high throughput direct assay <newline> Z disc ; GO:0030018 | colocalizes_with inferred from direct assay <newline> nucleoplasm ; GO:0005654 | inferred from high throughput direct assay,unfolded protein binding ; GO:0051082 | inferred from sequence model,X,19611413,19605199,1,-,-,Jan-63,CG14207
FBgn0031305,FBgn0031305,CG4715,21F1-21F1,-,2-2 <newline> 2-1.7,-,-,-,SO0000010:protein_coding_gene,-,integral component of membrane ; GO:0016021 | inferred from reviewed computational analysis,-,2L,1134098,1132332,-1,-,Iris,2-Feb,Iris
FBgn0031322,FBgn0031322,CG5001,21F2-21F2,-,2-2 <newline> 2-1.7,-,-,-,SO0000010:protein_coding_gene,protein folding ; GO:0006457 | inferred from electronic annotation with InterPro:IPR008971,-,unfolded protein binding ; GO:0051082 | inferred from electronic annotation with InterPro:IPR008971,2L,1196807,1185757,1,-,-,2-Feb,CG5001
FBgn0031373,FBgn0031373,CG15358,22B4-22B4,-,2-3 <newline> 2-3.2,-,-,-,SO0000010:protein_coding_gene,-,-,carbohydrate binding ; GO:0030246 | inferred from sequence or structural similarity with Lectin-galC1,2L,1883185,1882008,-1,-,-,3-Feb,CG15358
FBgn0031377,FBgn0031377,CG15356,22B8-22B8,-,2-3 <newline> 2-3.7,-,-,-,SO0000010:protein_coding_gene,"regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR033482",nucleus ; GO:0005634 | inferred from direct assay <newline> Sin3-type complex ; GO:0070822 | inferred from direct assay,-,2L,1980755,1975463,-1,-,-,3-Feb,CG15356
